Time,Breaker_Switch,Voltage_V,Frequency_Hz,Current_A,ActivePower_kW,PowerFactor,ApparentPower_kVA,ReactivePower_kVAr,dE_kWh,dE_kVArh,dE_kVAh,Energy_kWh,Energy_kVArh,Energy_kVAh,Voltage_Deviation_%,PF_Class,Compressor_ON,DutyCycle_%_24H,Cost_step_BDT,Cost_cum_BDT,Freq_Deviation_%,Cycle_ID
2025-08-01 00:02:00+06:00,1.0,234.5,50.4,1.4,0.19,0.579,0.3283,0.26773287060052975,0.0,0.0,0.0,0.0,0.0,0.0,1.956521739130435,Poor,1,100.0,0.0,0.0,0.7999999999999973,1.0
2025-08-01 00:03:00+06:00,1.0,234.2,50.379999999999995,1.398,0.19,0.5808,0.32741159999999997,0.26664274941306765,0.0031666666666666666,0.004444045823551127,0.005456859999999999,0.0031666666666666666,0.004444045823551127,0.005456859999999999,1.8260869565217341,Poor,1,100.0,0.022515,0.022515,0.7599999999999909,1.0
2025-08-01 00:04:00+06:00,1.0,233.9,50.36,1.396,0.19,0.5826,0.3265244,0.2655526008069964,0.0031666666666666666,0.004425876680116607,0.0054420733333333336,0.006333333333333333,0.008869922503667735,0.010898933333333333,1.6956521739130461,Poor,1,100.0,0.022515,0.04503,0.7199999999999989,1.0
2025-08-01 00:05:00+06:00,1.0,233.6,50.339999999999996,1.394,0.19,0.5843999999999999,0.3256384,0.26446241236621887,0.0031666666666666666,0.004407706872770314,0.005427306666666666,0.0095,0.01327762937643805,0.01632624,1.5652173913043455,Poor,1,100.0,0.022515,0.067545,0.6799999999999926,1.0
2025-08-01 00:06:00+06:00,1.0,233.3,50.32,1.392,0.19,0.5861999999999999,0.32475360000000003,0.2633721714854476,0.0031666666666666666,0.004389536191424127,0.00541256,0.012666666666666666,0.017667165567862176,0.0217388,1.4347826086956572,Poor,1,100.0,0.022515,0.09006,0.6400000000000006,1.0
2025-08-01 00:07:00+06:00,1.0,233.0,50.3,1.39,0.19,0.588,0.32387,0.2622818653662506,0.0031666666666666666,0.0043713644227708435,0.0053978333333333335,0.01583333333333333,0.02203852999063302,0.027136633333333333,1.3043478260869565,Poor,1,100.0,0.022515,0.11257500000000001,0.5999999999999943,1.0
2025-08-01 00:08:00+06:00,1.0,232.92,50.32,1.39,0.19,0.588,0.32375879999999996,0.26214454138402343,0.0031666666666666666,0.004369075689733724,0.005395979999999999,0.018999999999999996,0.026407605680366746,0.032532613333333335,1.269565217391299,Poor,1,100.0,0.022515,0.13509000000000002,0.6400000000000006,1.0
2025-08-01 00:09:00+06:00,1.0,232.84,50.339999999999996,1.39,0.19,0.588,0.3236476,0.26200719262218736,0.0031666666666666666,0.0043667865437031226,0.005394126666666666,0.02216666666666666,0.030774392224069868,0.03792674,1.2347826086956537,Poor,1,100.0,0.022515,0.15760500000000002,0.6799999999999926,1.0
2025-08-01 00:10:00+06:00,1.0,232.76,50.36,1.39,0.19,0.588,0.32353639999999995,0.26186981904175205,0.0031666666666666666,0.004364496984029201,0.005392273333333333,0.025333333333333326,0.03513888920809907,0.04331901333333334,1.199999999999996,Poor,1,100.0,0.022515,0.18012000000000003,0.7199999999999989,1.0
2025-08-01 00:11:00+06:00,1.0,232.68,50.379999999999995,1.39,0.19,0.588,0.32342519999999997,0.26173242060363855,0.0031666666666666666,0.004362207010060642,0.005390419999999999,0.02849999999999999,0.03950109621815971,0.048709433333333337,1.1652173913043506,Poor,1,100.0,0.022515,0.20263500000000004,0.7599999999999909,1.0
2025-08-01 00:12:00+06:00,1.0,232.6,50.4,1.39,0.19,0.588,0.323314,0.2615949972686787,0.0031666666666666666,0.0043599166211446445,0.005388566666666666,0.031666666666666655,0.04386101283930435,0.054098,1.1304347826086933,Poor,1,100.0,0.022515,0.22515000000000004,0.7999999999999973,1.0
2025-08-01 00:13:00+06:00,1.0,232.6,50.379999999999995,1.39,0.19,0.588,0.323314,0.2615949972686787,0.0031666666666666666,0.0043599166211446445,0.005388566666666666,0.03483333333333332,0.048220929460448994,0.059486566666666664,1.1304347826086933,Poor,1,100.0,0.022515,0.24766500000000005,0.7599999999999909,1.0
2025-08-01 00:14:00+06:00,1.0,232.6,50.36,1.39,0.19,0.588,0.323314,0.2615949972686787,0.0031666666666666666,0.0043599166211446445,0.005388566666666666,0.037999999999999985,0.052580846081593635,0.06487513333333333,1.1304347826086933,Poor,1,100.0,0.022515,0.27018000000000003,0.7199999999999989,1.0
2025-08-01 00:15:00+06:00,1.0,232.6,50.339999999999996,1.39,0.19,0.588,0.323314,0.2615949972686787,0.0031666666666666666,0.0043599166211446445,0.005388566666666666,0.04116666666666665,0.056940762702738276,0.0702637,1.1304347826086933,Poor,1,100.0,0.022515,0.29269500000000004,0.6799999999999926,1.0
2025-08-01 00:16:00+06:00,1.0,232.6,50.32,1.39,0.19,0.588,0.323314,0.2615949972686787,0.0031666666666666666,0.0043599166211446445,0.005388566666666666,0.044333333333333315,0.06130067932388292,0.07565226666666666,1.1304347826086933,Poor,1,100.0,0.022515,0.31521000000000005,0.6400000000000006,1.0
2025-08-01 00:17:00+06:00,1.0,232.6,50.3,1.39,0.19,0.588,0.323314,0.2615949972686787,0.0031666666666666666,0.0043599166211446445,0.005388566666666666,0.04749999999999998,0.06566059594502756,0.08104083333333333,1.1304347826086933,Poor,1,100.0,0.022515,0.33772500000000005,0.5999999999999943,1.0
